id,name,phone,joinDate
MEM001,Christopher Osborne,(684)636-9060x6832,2025-01-01
MEM002,Elizabeth Gonzalez,413-316-4192,2023-11-10
MEM003,Danielle Palmer,(538)085-5121x125,2024-07-27
MEM004,Janice Greene,997.177.6166,2023-10-13
MEM005,Steven Suarez,+1-211-364-5662,2021-08-03
MEM006,Deanna Brown,213-161-5489,2022-03-05
MEM007,Ryan Mejia,+1-969-169-2121,2020-11-23
MEM008,Tamara Horne,228-270-9751,2021-08-20
MEM009,Victor Campbell,044.016.7445,2024-03-28
MEM010,John Dawson,+1-793-980-2999x9221,2024-01-29
MEM011,Danielle Mckinney,001-269-650-1327x743,2022-03-20
MEM012,Erica Stevens,896.041.8216,2023-02-21
MEM013,Dennis Carpenter,798.511.6626,2020-09-25
MEM014,Elizabeth Romero,001-879-483-2414,2020-07-12
MEM015,Virginia Gordon,+1-455-184-9289x028,2020-12-07
MEM016,Kathleen Smith,022.263.3407,2024-10-28
MEM017,Jessica Davis,745.022.1944,2020-02-06
MEM018,Richard Kirk,+1-208-585-8537x40927,2023-11-27
MEM019,Samantha Martin,+1-989-461-7153x716,2022-01-26
MEM020,Tammy Davis,674-220-7150x79395,2021-03-24
MEM021,Mary Robinson,+1-816-273-4271x622,2022-10-20
MEM022,Juan Mitchell,001-610-049-4131x7781,2024-01-13
MEM023,Gregory Brandt,5102703728,2022-01-27
MEM024,Brett Garcia,001-014-971-6256x3121,2022-03-10
MEM025,Jose Roberts,+1-644-834-2561x5382,2024-01-18
MEM026,Sherri Hamilton,(889)940-1888x6614,2024-04-04
MEM027,Elizabeth Davidson,+1-521-123-4514x5733,2022-07-01
MEM028,Kenneth Hays,+1-418-119-0146x8004,2022-08-24
MEM029,Christopher Garcia,+1-003-021-2335x79957,2020-11-30
MEM030,Ashley Oconnor,524-699-0910,2022-09-22
MEM031,Angelica Hayes,089-283-9253,2020-01-15
MEM032,Corey Velasquez,001-465-286-1840x30648,2021-01-01
MEM033,Debra Bush,(445)532-1333x1195,2021-09-27
MEM034,Zachary Burnett,806-421-3812x80407,2022-07-07
MEM035,John Hines,336.008.9582,2020-10-08
